game_id,home_team,away_team,posteam,Total_EPA,Total_Yards_Gained,Air_Yards,Turnovers,Total_Rush_Attempts,Total_Pass_Attempts,total_away_score,total_home_score,Winner,MA_EPA,MA_yards_gained,MA_air_yards,MA_turnovers,MA_rush_attempts,MA_pass_attempts
2019091500,BAL,ARI,ARI,1.885632648,351,312,0,11,44,17,23,Home,5.727791661,389,567,2,23,60
2019100601,CIN,ARI,ARI,15.48737094,514,247,0,38,33,26,23,Away,0.762450982,327,322,1.25,19.75,47.75
2019102006,NYG,ARI,ARI,2.310008904,245,112,0,38,23,27,21,Away,8.684261859,381,225,0.75,28,39.25
2019102707,NO,ARI,ARI,-10.89914507,237,289,0,11,38,9,31,Home,9.515686414,380,193,0.25,32,32.25
2019111006,TB,ARI,ARI,8.570837422,417,560,2,18,47,27,30,Home,7.602613457,320,187,0,25.25,31.5
2019111708,SF,ARI,ARI,-3.233067518,266,124,2,25,37,26,36,Home,3.791998593,314,266,0.5,22.5,34
2019122213,SEA,ARI,ARI,3.338880461,412,212,0,40,29,27,13,Away,-3.636303253,286,168,1.75,25.75,34.25
2019122914,LA,ARI,ARI,2.8333303,393,393,5,17,44,24,31,Home,-1.993316258,322,190,1.25,29.5,32.25
2019092203,IND,ATL,ATL,26.816473,397,292,1,20,34,24,27,Home,-6.008992147,356,379,3,17,48
2019100602,HOU,ATL,ATL,13.19638335,375,366,2,20,49,32,53,Home,1.958958918,382,379,2,17.75,47
2019101307,ARI,ATL,ATL,23.33372028,444,319,0,25,38,33,34,Home,8.658439213,390,381,1.75,18.5,46.25
2019111004,NO,ATL,ATL,4.4366549,317,260,1,34,36,26,9,Away,7.261976878,388,327,1.75,19.25,45.25
2019111701,CAR,ATL,ATL,4.670129042,349,290,0,26,36,29,3,Away,5.072044765,374,300,1.5,22.75,42
2019121512,SF,ATL,ATL,8.742517469,290,213,0,21,41,29,22,Away,0.494677654,373,372,1.25,25.75,48.25
2019122912,TB,ATL,ATL,-12.28516887,373,311,1,30,57,28,21,Away,5.114599662,404,317,1.25,26.5,45.5
2019092204,KC,BAL,BAL,16.57826484,452,483,0,34,47,28,33,Home,32.06474654,541,329,0.5,39.5,33
2019100607,PIT,BAL,BAL,-3.33066348,277,216,3,40,33,26,23,Away,20.92022686,483,352,1,35.75,37.75
2019102010,SEA,BAL,BAL,5.85541779,340,201,0,35,21,30,16,Away,8.979891056,405,305,1.75,36.75,38
2019111001,CIN,BAL,BAL,21.75047597,370,231,1,23,23,49,13,Away,8.716355499,371,196,1.25,39.75,28
2019112500,LA,BAL,BAL,35.23124084,480,191,0,48,26,45,6,Away,16.00947851,393,189,0.5,34,23.75
2019120801,BUF,BAL,BAL,-1.818415324,257,148,1,33,26,24,17,Away,21.46417559,406,207,0.5,36.5,25
2019122206,CLE,BAL,BAL,18.61035226,481,247,1,40,31,31,15,Away,14.28530054,363,200,0.5,38.5,25.25
2019091506,NYG,BUF,BUF,9.259887069,388,269,0,34,33,28,14,Away,-4.840785608,370,324,4,25,38
2019100608,TEN,BUF,BUF,-1.431334437,313,139,1,27,36,14,7,Away,-5.185946761,387,352,2.5,29.25,39.5
2019111002,CLE,BUF,BUF,-0.504219616,344,403,0,20,42,16,19,Home,5.944885365,285,232,0.75,27.5,31
2019111704,MIA,BUF,BUF,17.96741378,424,283,0,34,33,37,20,Away,6.17666407,293,298,0.5,25.75,32.5
